transaction_id,customer_id,product_id,transaction_date,quantity,total_amount
94,727,9,2024-11-11,5,2001.65
95,913,79,2024-07-07,4,1314.12
96,844,73,2022-06-10,4,1916.4
97,446,18,2024-05-19,3,537.66
98,646,48,2023-10-07,1,177.92
99,114,96,2024-02-01,3,718.59
100,161,29,2024-01-11,5,1655.25
101,379,24,2023-12-07,4,498.24
102,628,36,2022-07-25,1,391.37
103,933,73,2024-11-04,2,958.2
104,86,21,2022-08-09,2,906.26
105,887,81,2024-04-04,5,1544.35
106,322,34,2024-09-13,5,60.75
107,164,51,2024-11-29,4,1513.8
108,99,66,2024-10-31,2,272.36
109,848,30,2023-09-15,1,326.51
110,693,54,2024-02-29,4,832.32
111,813,25,2024-05-19,4,451.36
112,557,61,2024-12-09,3,326.7
113,88,28,2024-06-26,4,292.72
114,123,7,2023-11-05,1,384.34
115,291,21,2025-01-15,5,2265.65
116,798,43,2023-11-29,3,1055.94
117,530,1,2024-05-13,4,1747.84
118,751,84,2023-09-18,3,36.78
119,376,50,2022-08-03,2,397.12
120,210,85,2023-12-14,2,102.64
121,684,24,2023-10-04,5,622.8
122,820,3,2024-07-28,2,944.9
123,337,60,2024-08-26,3,88.47
124,437,52,2023-12-05,2,687.6
125,923,31,2024-11-14,4,124.64
126,49,68,2024-10-01,5,708.05
127,638,46,2024-09-21,4,1525.6
128,697,42,2022-08-10,1,383.96
129,640,80,2024-12-14,3,534.6
130,281,77,2022-12-22,5,340.9
131,528,43,2022-05-20,4,1407.92
132,338,17,2022-02-26,2,269.28
133,351,55,2023-02-09,4,1249.52
134,508,43,2024-03-31,1,351.98
135,370,17,2023-06-22,3,403.92
136,139,58,2022-03-12,1,449.65
137,642,82,2022-11-23,1,413.3
138,868,2,2022-03-12,4,192.68
139,130,2,2022-09-19,4,192.68
140,821,19,2023-01-23,4,245.36
141,278,19,2022-04-21,2,122.68
142,868,60,2024-09-21,1,29.49
143,341,60,2022-05-07,4,117.96
144,983,7,2022-04-04,5,1921.7
145,816,2,2023-07-14,4,192.68
146,70,75,2022-08-14,5,1965.1
147,796,25,2023-12-02,1,112.84
148,862,21,2023-09-21,3,1359.39
149,224,98,2022-04-23,1,463.89
150,768,32,2023-07-30,4,246.36
151,12,22,2024-09-20,1,59.58
152,31,72,2024-07-26,2,153.16
153,853,48,2022-02-08,4,711.68
154,238,11,2024-10-09,4,1049.48
155,752,7,2022-08-21,5,1921.7
156,644,91,2022-05-06,2,256.54
157,560,50,2023-07-07,1,198.56
158,848,100,2024-09-20,5,214.9
159,726,56,2024-08-23,5,864.3
160,102,82,2024-12-19,2,826.6
161,766,23,2023-08-09,3,82.74
162,720,21,2022-04-02,4,1812.52
163,894,27,2023-07-11,5,1204.85
164,507,21,2024-07-18,1,453.13
165,250,79,2023-03-20,1,328.53
166,272,64,2023-10-05,3,1337.79
167,392,36,2022-12-13,3,1174.11
168,269,8,2023-11-04,2,892.3
169,557,17,2022-06-09,2,269.28
170,61,68,2023-08-19,3,424.83
171,104,91,2023-02-12,4,513.08
172,421,55,2023-09-24,1,312.38
173,640,6,2022-11-29,5,1987.65
174,585,51,2024-06-17,4,1513.8
175,314,71,2022-10-16,2,670.8
176,542,25,2022-02-15,4,451.36
177,650,17,2024-10-07,1,134.64
178,521,68,2024-03-01,1,141.61
179,553,17,2023-11-01,5,673.2
180,136,41,2022-02-02,2,676.28
181,198,71,2023-10-13,5,1677.0
182,149,45,2024-03-04,5,984.3
183,545,59,2023-01-12,3,946.14
184,771,64,2022-03-20,3,1337.79
185,918,95,2022-11-17,1,339.29
186,579,99,2024-01-25,4,1688.32
187,767,27,2024-06-06,2,481.94
188,875,1,2023-05-12,2,873.92
189,614,51,2024-04-18,3,1135.35
190,460,7,2024-03-24,3,1153.02
191,677,33,2022-01-20,3,618.99
192,40,33,2024-08-31,2,412.66
193,373,73,2023-03-15,5,2395.5
194,140,8,2023-06-17,1,446.15
195,786,48,2024-12-19,1,177.92
196,784,2,2024-01-24,5,240.85
197,939,97,2024-08-16,4,1300.24
198,761,57,2025-01-14,5,657.2
199,20,47,2022-01-24,5,2417.6
200,486,96,2023-11-23,4,958.12
201,554,45,2022-01-17,2,393.72
202,459,19,2024-07-22,4,245.36
203,33,66,2023-07-09,4,544.72
204,903,93,2023-05-29,1,245.22
205,617,99,2022-03-30,1,422.08
206,544,51,2022-12-17,1,378.45
207,155,56,2024-06-03,4,691.44
208,470,45,2024-11-06,3,590.58
209,679,92,2023-07-23,4,612.88
210,981,4,2025-01-15,4,562.48
211,553,54,2024-05-14,5,1040.4
212,522,4,2022-11-03,4,562.48
213,151,79,2024-10-07,4,1314.12
214,316,18,2022-03-16,5,896.1
215,11,93,2024-12-25,2,490.44
216,849,10,2024-10-30,4,99.56
217,8,8,2024-02-24,4,1784.6
218,863,22,2024-11-15,4,238.32
219,299,31,2023-03-11,2,62.32
220,409,28,2024-07-10,3,219.54
221,362,100,2022-11-26,2,85.96
222,861,92,2025-01-11,5,766.1
223,376,56,2023-09-10,3,518.58
224,974,65,2022-11-27,4,1232.48
225,59,52,2022-04-22,5,1719.0
226,963,99,2024-10-20,4,1688.32
227,277,81,2023-05-14,2,617.74
228,88,36,2023-06-03,5,1956.85
229,494,4,2024-03-20,1,140.62
230,987,35,2023-12-28,4,249.4
231,116,5,2024-12-17,1,282.07
232,850,3,2023-02-28,3,1417.35
233,735,60,2023-04-22,5,147.45
234,583,95,2023-06-30,1,339.29
235,881,66,2022-07-15,4,544.72
236,422,33,2024-12-31,5,1031.65
237,187,64,2023-08-31,4,1783.72
238,840,15,2022-01-23,3,995.04
239,31,81,2024-11-03,3,926.61
240,566,62,2023-12-02,4,1402.04
241,331,93,2023-12-08,3,735.66
242,294,48,2024-12-28,4,711.68
243,152,61,2022-11-04,2,217.8
244,742,54,2023-01-17,4,832.32
245,610,95,2023-03-20,1,339.29
246,505,5,2022-01-19,3,846.21
247,253,65,2022-03-03,1,308.12
248,81,72,2022-04-30,5,382.9
249,286,33,2024-06-05,4,825.32
250,624,28,2024-12-19,5,365.9
251,260,5,2022-03-12,3,846.21
252,964,12,2022-01-25,1,477.74
253,495,42,2024-06-30,4,1535.84
254,335,59,2023-11-16,3,946.14
255,848,44,2024-06-06,5,542.75
256,672,95,2023-12-13,4,1357.16
257,605,26,2023-07-22,2,307.7
258,268,16,2024-08-31,4,746.64
259,810,100,2023-10-22,5,214.9
260,748,34,2024-12-14,2,24.3
261,806,10,2023-01-10,1,24.89
262,976,62,2022-12-28,5,1752.55
263,867,14,2022-04-22,3,723.51
264,382,75,2024-11-16,4,1572.08
265,692,22,2022-10-02,1,59.58
266,880,31,2023-05-08,1,31.16
267,396,46,2023-01-31,2,762.8
268,500,89,2024-11-07,1,290.88
269,386,56,2024-02-20,2,345.72
270,772,6,2024-10-01,3,1192.59
271,74,23,2023-07-09,5,137.9
272,5,57,2022-10-27,2,262.88
273,623,70,2024-04-09,3,1306.65
274,900,94,2023-08-09,1,91.71
275,797,3,2024-12-17,5,2362.25
276,99,62,2024-07-03,2,701.02
277,969,39,2024-04-25,4,1883.44
278,126,6,2025-01-07,4,1590.12
279,63,6,2023-05-15,1,397.53
280,390,85,2024-05-19,2,102.64
281,34,86,2022-01-20,1,426.31
282,846,30,2022-10-22,3,979.53
283,57,20,2023-03-15,5,1582.85
284,234,10,2024-05-09,5,124.45
285,482,54,2023-08-31,5,1040.4
286,159,85,2023-10-07,2,102.64
287,201,89,2022-09-18,3,872.64
288,857,59,2023-05-12,1,315.38
289,745,53,2024-07-10,3,262.74
290,479,81,2022-07-02,5,1544.35
291,56,46,2024-09-22,3,1144.2
292,268,41,2023-10-13,2,676.28
293,792,59,2022-08-01,2,630.76
294,349,83,2023-06-24,5,627.8
295,757,42,2022-11-06,4,1535.84
296,428,3,2023-01-26,1,472.45
297,879,20,2024-01-29,5,1582.85
298,860,5,2023-03-17,1,282.07
299,274,31,2023-07-10,2,62.32
300,767,63,2023-01-16,5,2037.85
301,560,100,2024-02-19,3,128.94
302,236,32,2023-08-26,1,61.59
303,453,65,2023-12-21,4,1232.48
304,434,48,2023-01-04,4,711.68
305,442,55,2022-12-14,2,624.76
306,774,26,2024-06-04,4,615.4
307,20,67,2024-06-10,1,265.77
308,190,34,2023-08-05,4,48.6
309,234,35,2022-05-25,5,311.75
310,434,9,2023-04-16,1,400.33
311,171,59,2023-01-22,5,1576.9
312,952,48,2024-08-07,4,711.68
313,114,91,2022-12-07,1,128.27
314,747,77,2022-07-02,3,204.54
315,530,89,2024-01-15,1,290.88
316,281,97,2022-10-23,4,1300.24
317,695,21,2023-12-19,5,2265.65
318,101,72,2023-09-29,1,76.58
319,137,87,2023-02-26,1,298.5
320,167,51,2023-07-25,1,378.45
321,236,18,2024-03-08,2,358.44
322,197,66,2022-09-05,3,408.54
323,301,100,2022-05-16,2,85.96
324,676,35,2023-01-11,1,62.35
325,8,14,2023-12-04,3,723.51
326,851,29,2023-07-02,1,331.05
327,499,40,2022-11-08,4,1184.2
328,382,98,2023-04-10,5,2319.45
329,569,58,2023-06-26,3,1348.95
330,116,8,2022-08-31,3,1338.45
331,822,98,2024-11-23,5,2319.45
332,141,31,2023-12-25,4,124.64
333,507,97,2024-05-29,3,975.18
334,28,82,2022-05-23,5,2066.5
335,995,47,2023-01-13,5,2417.6
336,421,97,2024-11-09,2,650.12
337,819,82,2022-03-01,5,2066.5
338,876,30,2023-02-10,1,326.51
339,412,93,2024-06-09,3,735.66
340,374,35,2023-05-05,5,311.75
341,486,74,2022-06-14,1,449.35
342,131,37,2022-11-13,2,567.2
343,856,34,2023-01-28,4,48.6
344,759,76,2022-11-29,3,433.95
345,702,89,2022-07-04,5,1454.4
346,225,57,2023-07-31,2,262.88
347,306,89,2024-05-09,5,1454.4
348,887,17,2024-04-06,3,403.92
349,816,13,2023-06-10,2,604.04
350,113,19,2025-01-03,2,122.68
351,758,77,2023-03-15,3,204.54
352,832,48,2023-01-12,3,533.76
353,973,78,2022-03-29,4,56.24
354,798,53,2024-05-01,3,262.74
355,116,6,2022-11-26,2,795.06
356,162,20,2022-10-20,5,1582.85
357,218,32,2022-07-10,4,246.36
358,880,86,2024-09-10,1,426.31
359,244,76,2024-08-11,5,723.25
360,389,42,2023-10-02,5,1919.8
361,83,62,2024-05-31,1,350.51
362,710,42,2023-04-07,2,767.92
363,373,80,2023-09-08,2,356.4
364,949,72,2022-06-17,2,153.16
365,392,24,2025-01-14,2,249.12
366,694,42,2022-05-24,1,383.96
367,630,10,2023-11-27,5,124.45
368,330,97,2022-08-18,5,1625.3
369,605,72,2025-01-06,1,76.58
370,546,17,2024-11-04,1,134.64
371,715,85,2024-07-17,4,205.28
372,983,89,2022-05-14,3,872.64
373,382,62,2022-09-01,3,1051.53
374,481,13,2023-10-25,5,1510.1
375,182,19,2023-09-30,5,306.7
376,682,86,2024-06-09,5,2131.55
377,354,43,2024-03-03,1,351.98
378,299,60,2024-06-26,2,58.98
379,754,57,2024-09-26,5,657.2
380,541,53,2024-02-15,1,87.58
381,234,33,2022-03-24,1,206.33
382,294,15,2024-04-22,4,1326.72
383,195,26,2023-05-04,5,769.25
384,587,18,2024-05-27,2,358.44
385,318,93,2022-12-25,2,490.44
386,888,53,2022-09-08,3,262.74
387,904,77,2023-09-28,1,68.18
388,374,36,2024-04-15,5,1956.85
389,945,7,2022-04-13,1,384.34
390,861,79,2022-10-29,1,328.53
391,858,38,2022-05-07,3,1277.88
392,814,45,2022-04-08,4,787.44
393,462,6,2022-06-13,2,795.06
394,405,41,2023-09-13,3,1014.42
395,338,19,2022-05-26,5,306.7
396,79,18,2023-07-05,2,358.44
397,276,54,2024-08-24,1,208.08
398,770,8,2023-02-15,5,2230.75
399,149,68,2024-02-19,1,141.61
400,202,41,2022-10-25,4,1352.56
401,490,58,2022-07-31,4,1798.6
402,412,2,2023-03-10,5,240.85
403,780,19,2023-08-16,5,306.7
404,563,33,2024-02-01,2,412.66
405,867,32,2024-01-31,3,184.77
406,609,91,2022-02-09,2,256.54
407,166,91,2022-08-29,1,128.27
408,360,1,2023-08-02,1,436.96
409,846,67,2023-10-09,3,797.31
410,692,19,2022-10-06,1,61.34
411,211,45,2024-07-27,2,393.72
412,156,21,2024-07-03,4,1812.52
413,33,53,2022-12-28,4,350.32
414,34,84,2022-06-21,1,12.26
415,655,26,2022-07-02,1,153.85
416,479,86,2022-05-23,5,2131.55
417,248,35,2025-01-12,3,187.05
418,627,85,2023-12-25,3,153.96
419,205,77,2023-11-15,2,136.36
420,364,30,2024-11-21,3,979.53
421,901,56,2022-07-06,2,345.72
422,624,24,2022-08-03,4,498.24
423,197,60,2022-04-01,4,117.96
424,694,16,2022-01-22,5,933.3
425,156,48,2022-11-20,2,355.84
426,232,52,2024-04-29,1,343.8
427,288,57,2023-03-30,5,657.2
428,810,54,2024-03-11,3,624.24
429,485,37,2024-04-21,2,567.2
430,129,44,2023-03-05,2,217.1
431,328,29,2024-12-25,2,662.1
432,453,10,2022-07-26,4,99.56
433,804,46,2022-09-22,1,381.4
434,593,93,2022-02-18,1,245.22
435,118,76,2022-02-15,4,578.6
436,336,89,2024-03-17,2,581.76
437,365,92,2023-06-29,5,766.1
438,284,100,2022-10-06,2,85.96
439,304,98,2022-07-06,5,2319.45
440,461,35,2022-05-29,1,62.35
441,604,93,2022-05-27,5,1226.1
442,249,88,2023-07-28,5,864.65
443,972,57,2023-03-20,3,394.32
444,575,89,2022-10-28,1,290.88
445,634,28,2023-02-27,1,73.18
446,435,50,2023-06-04,5,992.8
447,229,65,2023-09-16,2,616.24
448,859,1,2024-04-23,4,1747.84
449,973,80,2022-06-08,5,891.0
450,844,25,2024-01-28,1,112.84
451,484,98,2024-05-29,4,1855.56
452,414,29,2024-06-09,4,1324.2
453,727,66,2023-06-08,3,408.54
454,799,22,2023-07-02,4,238.32
455,537,70,2023-10-02,3,1306.65
456,802,88,2022-08-04,2,345.86
457,27,22,2022-09-26,5,297.9
458,773,93,2023-04-16,5,1226.1
459,655,5,2024-03-29,2,564.14
460,444,87,2022-12-31,2,597.0
461,375,82,2024-10-31,2,826.6
462,980,17,2023-07-25,4,538.56
463,564,73,2023-03-30,4,1916.4
464,190,86,2024-03-23,1,426.31
465,456,91,2024-01-05,5,641.35
466,588,8,2022-08-03,2,892.3
467,652,39,2024-06-20,4,1883.44
468,748,23,2023-03-13,2,55.16
469,789,65,2023-06-30,3,924.36
470,733,2,2023-04-11,4,192.68
471,147,7,2022-05-09,2,768.68
472,502,21,2024-01-03,3,1359.39
473,990,66,2024-09-29,3,408.54
474,757,69,2024-09-25,3,406.29
475,870,25,2024-08-08,3,338.52
476,388,93,2022-06-15,3,735.66
477,94,49,2024-06-04,5,2087.6
478,744,74,2022-08-26,3,1348.05
479,809,60,2023-01-09,4,117.96
480,249,79,2024-03-26,5,1642.65
481,103,65,2023-01-21,5,1540.6
482,304,56,2024-04-09,5,864.3
483,697,27,2024-03-28,1,240.97
484,344,20,2023-03-28,4,1266.28
485,297,43,2023-09-14,5,1759.9
486,452,10,2024-01-27,1,24.89
487,547,34,2024-08-06,1,12.15
488,133,47,2023-04-12,3,1450.56
489,440,76,2023-03-31,4,578.6
490,807,25,2024-07-20,3,338.52
491,477,61,2024-03-02,1,108.9
492,657,6,2023-05-18,3,1192.59
493,529,77,2024-04-19,1,68.18
494,93,74,2022-10-02,2,898.7
495,948,26,2023-06-20,5,769.25
496,92,45,2024-09-23,5,984.3
497,946,89,2024-07-27,5,1454.4
498,979,27,2023-12-03,1,240.97
499,951,24,2022-03-14,4,498.24
500,862,84,2024-11-26,1,12.26
501,533,71,2022-05-30,5,1677.0
502,606,5,2023-08-10,3,846.21
503,188,25,2024-11-03,5,564.2
504,47,73,2023-09-12,5,2395.5
505,292,92,2024-07-29,2,306.44
506,615,92,2022-10-28,5,766.1
507,261,82,2024-08-24,1,413.3
508,120,93,2023-05-27,1,245.22
509,194,56,2024-02-22,2,345.72
510,239,53,2024-08-07,3,262.74
511,186,43,2023-03-05,1,351.98
512,147,87,2024-05-11,2,597.0
513,383,95,2024-09-06,2,678.58
514,647,61,2024-08-10,3,326.7
515,783,18,2023-01-08,5,896.1
516,134,40,2024-05-13,3,888.15
517,606,90,2024-06-06,1,59.98
518,337,81,2024-07-16,2,617.74
519,624,42,2022-10-08,3,1151.88
520,958,79,2024-02-03,2,657.06
521,492,4,2024-10-11,2,281.24
522,797,11,2024-03-02,1,262.37
523,606,92,2022-10-24,4,612.88
524,231,16,2024-01-19,5,933.3
525,438,25,2023-08-19,1,112.84
526,320,51,2022-01-22,5,1892.25
527,627,22,2024-10-21,2,119.16
528,808,90,2022-02-21,5,299.9
529,519,48,2022-10-29,3,533.76
530,129,96,2022-10-16,4,958.12
531,419,63,2024-04-27,3,1222.71
532,769,47,2022-11-16,1,483.52
533,851,23,2023-03-12,2,55.16
534,659,11,2022-11-20,5,1311.85
535,686,86,2024-08-17,1,426.31
536,31,57,2024-02-17,3,394.32
537,772,1,2024-02-20,2,873.92
538,961,27,2022-05-10,2,481.94
539,387,83,2024-06-04,4,502.24
540,955,85,2024-07-20,2,102.64
541,492,40,2023-06-15,5,1480.25
542,832,35,2022-12-04,1,62.35
543,48,1,2024-08-25,4,1747.84
544,575,79,2022-04-12,3,985.59
545,181,14,2023-01-05,1,241.17
546,458,42,2024-02-21,3,1151.88
547,999,32,2025-01-13,3,184.77
548,259,32,2022-12-06,4,246.36
549,893,35,2022-11-17,3,187.05
550,86,27,2023-03-21,5,1204.85
551,95,11,2023-06-10,4,1049.48
552,730,22,2022-04-24,5,297.9
553,985,55,2022-10-27,3,937.14
554,369,71,2025-01-03,1,335.4
555,249,44,2024-03-20,3,325.65
556,205,11,2023-05-20,4,1049.48
557,880,2,2024-11-16,4,192.68
558,817,4,2022-04-12,1,140.62
559,428,41,2022-04-10,5,1690.7
560,139,40,2023-03-15,1,296.05
561,594,33,2022-07-05,2,412.66
562,616,29,2023-06-15,5,1655.25
563,982,94,2023-07-07,4,366.84
564,733,75,2022-11-21,5,1965.1
565,566,99,2024-04-20,5,2110.4
566,98,15,2024-12-03,3,995.04
567,427,71,2023-06-25,1,335.4
568,379,42,2024-11-25,1,383.96
569,682,82,2024-03-31,4,1653.2
570,393,8,2023-10-03,1,446.15
571,190,87,2024-09-06,5,1492.5
572,331,73,2022-08-28,4,1916.4
573,610,48,2024-03-18,2,355.84
574,584,13,2023-11-22,4,1208.08
575,807,50,2022-08-16,5,992.8
576,331,100,2024-05-07,4,171.92
577,111,70,2023-08-01,3,1306.65
578,21,63,2023-09-26,5,2037.85
579,685,54,2024-06-26,5,1040.4
580,710,21,2022-10-11,5,2265.65
581,773,84,2023-11-26,3,36.78
582,301,72,2023-05-31,5,382.9
583,683,78,2024-02-14,4,56.24
584,282,15,2022-05-14,2,663.36
585,521,23,2024-09-06,4,110.32
586,332,74,2023-01-01,4,1797.4
587,881,9,2023-12-02,3,1200.99
588,16,33,2024-09-22,4,825.32
589,629,28,2022-05-06,3,219.54
590,177,62,2023-12-18,4,1402.04
591,823,61,2023-04-28,3,326.7
592,794,84,2024-05-27,3,36.78
593,267,15,2023-02-10,5,1658.4
594,41,92,2024-05-06,2,306.44
595,203,65,2022-02-28,4,1232.48
596,869,21,2024-01-11,1,453.13
597,953,70,2024-03-27,2,871.1
598,760,21,2024-05-24,1,453.13
599,149,77,2022-02-04,5,340.9
600,388,38,2022-05-10,2,851.92
601,493,22,2023-03-27,5,297.9
602,704,46,2022-09-11,2,762.8
603,750,42,2022-04-30,5,1919.8
604,404,67,2023-09-15,1,265.77
605,884,19,2022-10-26,5,306.7
606,329,10,2024-08-20,1,24.89
607,122,95,2025-01-05,2,678.58
608,989,86,2023-06-23,1,426.31
609,425,11,2022-04-11,4,1049.48
610,54,72,2023-07-03,5,382.9
611,979,68,2023-11-03,2,283.22
612,908,80,2022-05-06,1,178.2
613,98,17,2023-11-01,1,134.64
614,126,55,2022-06-19,1,312.38
615,795,16,2024-05-13,4,746.64
616,631,65,2022-12-13,5,1540.6
617,389,57,2024-09-14,3,394.32
618,797,68,2022-10-16,4,566.44
619,605,20,2023-09-01,5,1582.85
620,876,7,2022-02-26,2,768.68
621,712,51,2022-11-11,4,1513.8
622,744,35,2024-08-03,5,311.75
623,877,47,2023-01-12,2,967.04
624,49,63,2024-12-13,1,407.57
625,719,56,2022-11-29,3,518.58
626,89,69,2022-08-09,5,677.15
627,950,20,2024-08-19,1,316.57
628,137,100,2023-05-10,2,85.96
629,259,45,2023-01-29,3,590.58
630,936,47,2023-12-28,2,967.04
631,974,46,2023-10-23,5,1907.0
632,523,52,2023-02-20,3,1031.4
633,774,62,2024-03-29,4,1402.04
634,783,87,2022-03-13,5,1492.5
635,98,43,2022-04-29,2,703.96
636,951,11,2022-11-28,4,1049.48
637,373,96,2024-10-23,5,1197.65
638,842,18,2024-07-29,3,537.66
639,117,99,2024-10-28,3,1266.24
640,524,17,2023-01-07,1,134.64
641,160,50,2022-08-25,4,794.24
642,977,14,2024-05-21,1,241.17
643,387,26,2022-06-08,2,307.7
644,43,79,2024-12-12,1,328.53
645,452,24,2024-02-04,4,498.24
646,945,69,2022-05-07,4,541.72
647,456,77,2024-09-22,5,340.9
648,556,57,2022-06-18,5,657.2
649,450,71,2024-01-27,3,1006.2
650,855,14,2022-03-09,4,964.68
651,636,95,2023-03-15,2,678.58
652,697,75,2022-10-13,3,1179.06
653,567,59,2023-12-17,5,1576.9
654,257,14,2024-12-05,1,241.17
655,661,7,2022-01-26,4,1537.36
656,204,84,2023-05-07,1,12.26
657,458,64,2023-07-12,5,2229.65
658,202,45,2024-09-20,3,590.58
659,37,78,2022-09-06,2,28.12
660,502,13,2024-01-04,5,1510.1
661,920,6,2023-08-18,3,1192.59
662,351,96,2024-11-23,4,958.12
663,198,14,2024-10-27,3,723.51
664,32,6,2022-03-20,4,1590.12
665,192,2,2023-12-15,2,96.34
666,867,27,2022-05-11,4,963.88
667,853,6,2023-06-20,2,795.06
668,924,17,2024-05-02,2,269.28
669,948,76,2024-05-10,3,433.95
670,162,39,2023-10-15,3,1412.58
671,39,47,2023-12-24,1,483.52
672,183,43,2022-05-24,2,703.96
673,110,21,2022-06-20,3,1359.39
674,98,7,2022-11-10,5,1921.7
675,67,10,2023-05-27,3,74.67
676,965,16,2022-07-14,3,559.98
677,125,68,2024-07-06,2,283.22
678,388,15,2024-03-21,3,995.04
679,774,39,2024-05-21,3,1412.58
680,520,87,2024-10-07,2,597.0
681,809,45,2022-08-06,2,393.72
682,261,65,2023-04-21,2,616.24
683,171,30,2022-09-29,4,1306.04
684,712,71,2024-02-25,3,1006.2
685,882,10,2024-05-16,5,124.45
686,790,25,2022-07-07,2,225.68
687,163,50,2024-09-13,1,198.56
688,131,25,2024-08-29,5,564.2
689,301,92,2024-03-14,4,612.88
690,508,12,2023-12-03,1,477.74
691,295,82,2024-05-27,3,1239.9
692,39,19,2023-03-02,5,306.7
693,321,100,2024-04-04,3,128.94
694,471,66,2022-11-30,5,680.9
695,882,84,2024-07-25,3,36.78
696,263,9,2024-02-01,4,1601.32
697,9,96,2024-09-08,1,239.53
698,654,19,2024-07-21,3,184.02
699,478,50,2023-08-20,5,992.8
700,730,33,2024-02-04,2,412.66
701,452,32,2025-01-08,2,123.18
702,469,52,2023-08-23,4,1375.2
703,637,2,2024-02-11,1,48.17
704,986,56,2024-04-17,5,864.3
705,481,1,2024-05-15,4,1747.84
706,736,100,2023-12-27,5,214.9
707,699,33,2023-06-25,1,206.33
708,40,97,2022-06-15,3,975.18
709,421,77,2025-01-13,1,68.18
710,88,63,2023-06-06,3,1222.71
711,474,90,2024-03-29,2,119.96
712,566,51,2022-08-20,3,1135.35
713,566,20,2022-10-20,1,316.57
714,553,100,2023-08-23,3,128.94
715,575,56,2024-10-08,2,345.72
716,135,65,2023-06-04,2,616.24
717,874,99,2022-07-17,3,1266.24
718,660,24,2024-12-13,2,249.12
719,602,27,2022-08-14,3,722.91
720,668,78,2024-09-10,4,56.24
721,537,2,2024-12-18,5,240.85
722,160,18,2024-01-31,5,896.1
723,802,46,2023-10-28,2,762.8
